sothutu,Tên_Sản_Phẩm,Thương_Hiệu,Giá_Bán,Giá_Gốc,Dung_Tich,Phần_Trăm_Giảm
205,Nước Hoa Azzaro The Most Wanted EDP Intense,Azzaro,2658000,2890000,100ml,8
206,Nước hoa Giorgio Armani Acqua Di Gio Parfum Vaporisateur Rechargeable Refillable Spray,Giorgio Armani,1851000,1949000,100ml,5
207,Nước hoa Gucci Guilty Elixir De Parfum Pour Homme,Gucci,4066000,4280000,100ml,5
208,Nước hoa Hugo Boss Bottled Elixir,Hugo Boss,3413000,3710000,100ml,8
209,Nước hoa Calvin Klein Defy Parfum,Calvin Klein,3808000,4140000,100ml,8
210,Nước hoa Hugo Boss Boss Bottled Parfum,Hugo Boss,4075000,4430000,100ml,8
211,Nước hoa Montblanc Explorer Platinum EDP,Mont Blanc,2802000,2950000,100ml,5
212,Nước hoa Coach Green EDT,Coach,2208000,2400000,100ml,8
213,Nước Hoa Giorgio Armani Acqua Di Gio For Men EDT,Giorgio Armani,2896000,3049000,100ml,5
214,Nước hoa Armani Code For Men EDT,Giorgio Armani,2612000,2750000,100ml,5
215,Nước hoa Y EDP,Yves Saint Laurent,4406000,4590000,100ml,4
216,Nước hoa Prada Luna Rossa EDT,Prada,2894000,3047000,100ml,5
217,Nước Hoa Prada Luna Rossa Ocean EDT,Prada,2894000,3047000,100ml,5
218,Nước hoa Giorgio Armani Acqua Di Gio EDP,Giorgio Armani,3751000,3949000,100ml,5
219,Nước hoa Dolce&Gabbana Light Blue Summer Vibes Pour Homme EDT,Dolce & Gabbana,3408000,3550000,100ml,4
220,Nước hoa Scandal Pour Homme Le Parfum EDP,Jean Paul Gaultier,3534000,3720000,100ml,5
221,Nước hoa Versace Eros Parfum,Versace,3116000,3388000,100ml,8
222,Nước hoa Calvin Klein Defy EDP,Calvin Klein,2769000,3010000,100ml,8
223,Nước hoa Burberry Hero EDP,Burberry,4626000,4870000,100ml,5
224,Nước hoa Burberry Hero EDP,Burberry,451000,475000,100ml,5
225,Nước hoa Gucci Guilty Pour Homme Parfum,Gucci,4750000,5000000,100ml,5
226,Nước hoa Paco Rabanne Fame EDP,Paco Rabanne,3847000,4050000,100ml,5
227,Nước hoa Yves Saint Laurent Libre L'Absolu Platin EDP,Yves Saint Laurent,5299000,5520000,100ml,4
228,Nước hoa Calvin Klein My Euphoria EDP,Calvin Klein,3275000,3560000,100ml,8
229,Nước hoa Paco Rabanne Fame Intense EDP,Paco Rabanne,4560000,4800000,100ml,5
230,Nước hoa Dolce & Gabbana The Only One EDP Intense,Dolce & Gabbana,5040000,5250000,100ml,4
231,Nước hoa Dolce&Gabbana The One Gold EDP Intense,Dolce & Gabbana,4656000,4850000,100ml,4
232,Nước hoa Dolce & Gabbana Q EDP Intense,Dolce & Gabbana,4896000,5100000,100ml,4
233,Nước hoa L'Eau d'IsseySolar Violet EDTI,Issey Miyake,3078000,3240000,100ml,5
234,Nước hoa L'Eau d'Issey pour Homme Solar Lavender EDTI,Issey Miyake,1957000,2060000,100ml,5
235,Giftset YSL Black Opium EDP 4PCS,Yves Saint Laurent,3715000,3870000,100ml,4
236,Giftset YSL Black Opium EDP 3PCS,Yves Saint Laurent,3897000,4060000,100ml,4
237,Nước hoa Carolina Herrera Good Girl EDP,Carolina Herrera,1909000,2010000,100ml,5
238,Giftset YSL Libre EDP 3PCS,Yves Saint Laurent,3715000,3870000,100ml,4
239,Giftset YSL Libre EDP 3PCS,Yves Saint Laurent,4848000,5050000,100ml,4
240,Issey Miyake Ladies A Drop D'issey Essentielle EDP,Issey Miyake,3116000,3280000,100ml,5
241,Narciso Rodriguez Musc Nude For Her EDP,Narciso Rodriguez,3657000,3850000,100ml,5
242,Nước hoa Chloé Signature Lumineuse Roses EDP,Chloe,4949000,5380000,100ml,8
243,Nước hoa Burberry Her Petals Limited Edition,Burberry,4797000,5050000,100ml,5
244,Giftset Lancôme Miracle EDP 3PCS,Lancôme,2016000,2100000,100ml,4
245,Giftset Lancôme La Nuit Tresor 3PCS,Lancôme,2688000,2800000,100ml,4
246,Nước hoa Valentino Donna Born In Roma Intense EDP,Valentino,4493000,4730000,100ml,5
247,NƯỚC HOA LANCÔME LA VIE EST BELLE IRIS ABSOLU EDP,Lancôme,4704000,4900000,100ml,4
248,Nước hoa LIBRE EDT,Yves Saint Laurent,4550000,4740000,100ml,4
249,Nước hoa Black Opium EDP,Yves Saint Laurent,4848000,5050000,100ml,4
250,Nước hoa Coach Love EDP,Coach,2668000,2900000,100ml,8
251,Nước hoa JPG FEMME DIVINE 23 EDP,Jean Paul Gaultier,2118000,2230000,100ml,5
252,Nước hoa Giorgio Armani My Way Parfum EDP,Giorgio Armani,3469000,3652000,100ml,5
253,Nước hoa Giorgio Armani Sì Passione Eclat EDP,Giorgio Armani,3895000,4100000,100ml,5
254,Nước hoa Giorgio Armani Sì Passione Intense EDP,Giorgio Armani,3410000,3590000,100ml,5
255,Nước hoa Giorgio Armani Si EDP,Giorgio Armani,3895000,4100000,100ml,5
256,Nước hoa Mon Paris Intensement EDP,Yves Saint Laurent,5030000,5240000,100ml,4
257,NƯỚC HOA YSL LIBRE EDP - HOL 2023 OS,Yves Saint Laurent,3715000,3870000,100ml,4
258,Nước hoa Valentino Valentina EDP,Valentino,3270000,3443000,100ml,5
259,Nước hoa Valentino Donna Born In Roma Coral Fantasy EDP,Valentino,4131000,4349000,100ml,5
260,Nước hoa Valentino Donna Born In Roma Yellow Dream EDP,Valentino,4131000,4349000,100ml,5
261,Nước hoa Valentino Donna Born In Roma EDP,Valentino,4131000,4349000,100ml,5
262,Nước hoa Valentino Donna EDP,Valentino,4132000,4350000,100ml,5
263,Nước Hoa Nữ Diamond Femme (Trắng),Eau De Parfum,602000,1098000,90ml,45
264,Nước Hoa Vùng Kín Foellie Hương Hoa Hồng Mạnh Mẽ,Inner Perfume #Eau De Bijou,288000,700000,10ml,59
265,Nước Hoa Nữ Diamond Femme Pink (Hồng),Eau De Parfum,550000,1098000,90ml,50
266,Nước Hoa Nam Diamond Homme (Đen),Eau De Parfum,550000,1098000,90ml,50
267,Nước Hoa Nữ Diamond Femme Ruby Red (Đỏ),Eau De Parfum,602000,1098000,90ml,45
268,Nước Hoa Nữ Gennie Little Gold Dress,Little Gold Dress,292000,438000,100ml,33
269,Nước Hoa Vùng Kín Foellie Hương Trái Cây Ngọt Ngào,Inner Perfume #Eau De Fleur,358000,700000,10ml,49
270,Nước Hoa Nữ Gennie Little Black Dress,Little Black Dress,292000,438000,100ml,33
271,Xịt Thơm Toàn Thân Malissa Kiss Hương Crazy in Love,Perfume Body Mist,268000,338000,176ml,21
273,Nước Hoa Nữ De Memoria EDP #05 Montpellier,Eau De Parfum,708000,1100000,60ml,36
274,Nước Hoa Nữ De Memoria #02 Val De Loire Hương Tươi Mát,Eau De Parfum,708000,1100000,60ml,36
275,Xịt Thơm Toàn Thân Bodymiss Hương Stop & Stare,,108000,158000,70ml,32
276,Nước Hoa Nữ Gennie Little Red Dress,Little Red Dress,220000,438000,100ml,50
277,Nước Hoa Nam Gota Iconic Eau de Parfum,Iconic Perfume For Men Eau de Parfum,296000,592000,100ml,50
279,Nước Hoa Nữ De Memoria EDP #04 Dresden,Eau De Parfum,708000,1100000,60ml,36
280,Nước Hoa Vùng Kín Foellie Hương Hoa Hồng Trắng,Inner Perfume #Eau De Ciel,358000,700000,10ml,49
281,Nước Hoa Nam Diamond Homme Dark Blue (Xanh),Eau De Parfum,602000,1098000,90ml,45
282,Nước Hoa Nữ Gennie Little Rose Dress Bản Giới Hạn,Little Rose Dress For Her,350000,698000,100ml,50
283,Nước Hoa Vùng Kín Foellie Hoa Đinh Hương Bản Giới Hạn,Inner Perfume #Eau De Tuileries,378000,700000,10ml,46
284,Nước Hoa Nữ Versace Bright Crystal Absolu EDP,Bright Crystal Absolu Eau de Parfum Natural Spray,3578000,5830000,180ml,39
285,Nước Hoa Nam Diamond Homme Brown (Nâu),Eau De Parfum,602000,998000,90ml,40
286,Nước Hoa Nữ Carolina Herrera Good Girl EDP,Good Girl Eau De Parfum Natural Spray,3618000,4020000,60ml,10
287,Xịt Thơm Toàn Thân Malissa Kiss Hương Sweet Poison,Perfume Mist,268000,338000,176ml,21
288,Xịt Thơm Toàn Thân Malissa Kiss Hương Adore You,Perfume Mist,268000,338000,176ml,21
289,Nước Hoa Nam Versace Pour Homme EDT,Pour Homme Eau De Toilette Spray,2886000,3564000,100ml,19
290,Nước Hoa Nữ Laura Anne Allure For Her (Hồng),Eau de Parfum,368000,598000,100ml,38
291,Nước Hoa Nữ Lancôme La Nuit Tresor EDP,La Nuit Tresor Eau De Parfum,5640000,6200000,150ml,9
292,Nước Hoa Nam Paco Rabanne 1 Million Parfum EDP,1 Million Parfum EDP,6048000,6720000,200ml,10
293,Xịt Thơm Toàn Thân Malissa Kiss Hương Nước Hoa Passion,Perfume Mist,268000,338000,176ml,21
294,Nước Hoa Nữ Versace Bright Crystal EDT,Bright Crystal Eau de Toilette Spray,2380000,5810000,100ml,59
295,Nước Hoa Vùng Kín Foellie Hương Hoa Nhài Bản Giới Hạn,Inner Perfume #Eau De Venus,328000,700000,10ml,53
296,Nước Hoa Nữ De Memoria EDP #03 Granada,Eau De Parfum,708000,1100000,60ml,36
297,Nước Hoa Nữ De Memoria EDP #06 Grasse,Eau De Parfum,708000,1100000,60ml,36
298,Nước Hoa Nữ Verites After The Rain,After The Rain Inspired By My Burberry,382000,478000,100ml,20
299,Nước Hoa Nam Versace Eros Flame EDP,Eros Flame Eau de Parfum Spray,4472000,5522000,200ml,19
300,Xịt Thơm Toàn Thân Malissa Kiss Hương Lost In Paradise,Perfume Body Mist,268000,338000,176ml,21
301,Xịt Thơm Toàn Thân Malissa Kiss Hương Nước Hoa Delight,Perfume Mist,268000,338000,176ml,21
302,Xịt Thơm Toàn Thân Malissa Kiss Hương Fresh Escape,Perfume Mist,168000,338000,176ml,50
303,Nước Hoa Nam Gota Urban Eau de Parfum,Urban Perfume For Men Eau de Parfum,416000,592000,100ml,30
304,Xịt Thơm Toàn Thân Malissa Kiss Sweet Vanilla Cotton,Perfume Body Mist,268000,338000,176ml,21
305,Nước Hoa Nữ De Memoria #01 Spello Hương Mê Hoặc,Eau De Parfum,706000,1100000,60ml,36
306,Nước Hoa Vùng Kín Foellie Hương Gỗ Tươi Mát,Inner Perfume #Eau De Foret,358000,430000,10ml,17
307,Nước Hoa Nam Nữ Verites Siren,Siren Inspired By Good Girl Velvet Fatale,382000,478000,100ml,20
308,Xịt Thơm Toàn Thân Bodymiss Hương Funky Fresh,,218000,312000,210ml,30
309,Bộ 3 Chai Nước Hoa Nam Nerman 4000/chai,"Hương Thơm Mạnh Mẽ Lôi Cuốn, Lưu Hương Tới 8H",952000,998000,20ml,5
310,Xịt Thơm Toàn Thân Và Tóc Silkygirl Hương Love Bloom,Fragrance Mist Hair And Body #Love Bloom,196000,198000,100ml,1
311,Xịt Thơm Toàn Thân Malissa Kiss Hương Nước Hoa Charm,Perfume Mist,268000,338000,176ml,21
312,Nước Hoa Vùng Kín Foellie Hương Hoa Anh Đào,Inner Perfume #Eau De Cherry Blossom,358000,700000,10ml,49
313,Nước Hoa Nữ Verites Joie De Vivre,Joie De Vivre Inspired by Miss Dior,382000,478000,100ml,20
314,Nước Hoa Nam Laura Anne Mystic For Him (Đen),Eau de Parfum,368000,598000,100ml,38
315,Nước Hoa Vùng Kín Nữ Loli And The Wolf Midnight Forest,Hương Hoa Ngọt Ngào Quyến Rũ Lãng Mạn,496000,600000,16ml,17
316,Xịt Thơm Toàn Thân Bodymiss Hương Funky Fresh,,108000,158000,70ml,32
317,Nước Hoa Nữ Verites Secretly Sexy,Secretly Sexy Inspired By Victoria's Secret Very Sexy,382000,478000,100ml,20
318,Nước Hoa Nam Verites Savage Trail,Savage Trail Inspired by Dior Sauvage,382000,478000,100ml,20
319,Xịt Thơm Toàn Thân Và Tóc Silkygirl Hương Magic Dream,Fragrance Mist Hair And Body #Magic Dream,196000,198000,100ml,1
320,Xịt Thơm Toàn Thân Bodymiss Hương Stop & Stare,,218000,312000,210ml,30
321,Nước Hoa Vùng Kín Foellie Hương Hoa Ngọc Lan Tây,Inner Perfume #Eau De Bebe,358000,700000,10ml,49
322,Xịt Thơm Toàn Thân Bodymiss Hương Blinded Love,,108000,158000,70ml,32
323,Xịt Thơm Toàn Thân Bodymiss Hương Hide & Seek,,108000,158000,70ml,32
324,Nước Hoa Nam Nữ De Memoria EDP #09 Lampang,Eau De Parfum,740000,1100000,60ml,33
325,Nước Hoa Vùng Kín Foellie Hương Dâu Tây Bản XO Giới Hạn,Inner Perfume #Eau De Miel,358000,700000,10ml,49
326,Xịt Thơm Toàn Thân Bodymiss Hương Hide & Seek,,218000,312000,210ml,30
327,Nước Hoa Nam Laura Anne Allure For Him (Đỏ),Eau de Parfum,298000,598000,100ml,50
328,Nước Hoa Vùng Kín Foellie Hương Biển Thơm Mát,Inner Perfume #Eau De Vogue,358000,430000,10ml,17
329,Xịt Thơm Toàn Thân Malissa Kiss Hương Happy Sundae,Perfume Mist,168000,338000,176ml,50
330,"Nước Hoa Nữ Verites Her Summer Nữ Tính, Dịu Dàng",,462000,578000,100ml,20
331,Xịt Thơm Toàn Thân Bodymiss Hương Care Free,,108000,158000,70ml,32
332,Nước Hoa Nam Nữ De Memoria EDP #10 Jiufen,Eau De Parfum,708000,1100000,60ml,36
333,Xịt Thơm Toàn Thân Bodymiss Hương Money Honey,,218000,312000,210ml,30
334,Xịt Thơm Toàn Thân Malissa Kiss Hương Call Me Maybe,Perfume Mist,268000,338000,176ml,21
335,Xịt Thơm Toàn Thân Malissa Kiss Hương Nước Hoa Tender,Perfume Mist,268000,338000,176ml,21
336,Xịt Thơm Toàn Thân Malissa Kiss Hương Cozy Beach,Perfume Mist,168000,338000,176ml,50
338,Nước Hoa Nam Nữ Verites Santal Lab,Santal Lab Inspired By Le Labo Santal 33,478000,478000,100ml,0
339,Xịt Thơm Toàn Thân Malissa Kiss Hương Nước Hoa Fierce,Perfume Mist,268000,338000,176ml,21
340,Xịt Thơm Toàn Thân Bodymiss Hương Money Honey,,108000,158000,70ml,32
341,Combo 2 Xịt Thơm Toàn Thân Và Tóc Silkygirl Hương Love Bloom + Floral Blush,Fragrance Mist Hair And Body #Love Bloom & #Floral Blush,320000,352000,100ml,9
342,[Mini] Nước Hoa Nam Calvin Klein Defy For Men EDT,Defy For Men Eau de Toilette,760000,760000,20ml,0
343,Nước Hoa Nữ Gennie Little Rose Dress Bản Giới Hạn,Little Rose Dress For Her,180000,358000,20ml,50
344,Nước Hoa Nữ De Memoria EDP #07 Hoian,Eau De Parfum,708000,1100000,60ml,36
345,Nước Hoa Vùng Kín Foellie Cherry Đen Bản Giới Hạn,Inner Perfume #Eau De Noir,320000,700000,10ml,54
346,"Nước Hoa Nữ Verites Beach Bomb Nhẹ Nhàng, Tươi Mát",,462000,578000,100ml,20
347,"Nước Hoa Nam Verites De Club Cuốn Hút, Lịch Lãm",,462000,578000,100ml,20
348,Combo 2 Xịt Thơm Toàn Thân Và Tóc Silkygirl Hương Magic Dream + Love Bloom,Fragrance Mist Hair And Body #Magic Dream & #Love Bloom,368000,396000,100ml,7
349,Xịt Thơm Toàn Thân Và Tóc Silkygirl Hương Floral Blush,Fragrance Mist Hair And Body #Floral Blush,196000,198000,100ml,1
350,Nước Hoa Unisex Verites Chasing Cloud Tươi Mới,,462000,578000,100ml,20
351,Nước Hoa Nữ Laura Anne Mystic For Her (Xám),Eau de Parfum,374000,598000,100ml,37
352,Nước Hoa Nam Laura Anne Dynamic For Him (Xanh),Dynamic For Him,446000,598000,100ml,25
353,Xịt Thơm Toàn Thân Malissa Kiss Hương Nước Hoa Desire,Perfume Mist,268000,338000,176ml,21
354,Xịt Thơm Toàn Thân Malissa Kiss Hương Nước Hoa Sweetie,Perfume Mist,268000,338000,176ml,21
355,Xịt Thơm Toàn Thân Malissa Kiss Hương Nước Hoa Hottie,Perfume Mist,268000,338000,176ml,21
356,Xịt Thơm Toàn Thân Kiss My Body Sweetie,Perfume Mist,336000,338000,176ml,1
357,Nước Hoa Nữ Armaf Club De Nuit Woman,Club De Nuit Woman EDP,1256000,1780000,210ml,29
358,Xịt Thơm Toàn Thân Kiss My Body Hương Crazy In Love,Perfume Mist,286000,338000,176ml,15
359,Xịt Thơm Toàn Thân Kiss My Body Sweet Vanilla Cotton,Perfume Mist,286000,338000,176ml,15
360,Xịt Thơm Toàn Thân Kiss My Body Hương Delight,Perfume Mist,286000,338000,176ml,15
361,Combo 2 Xịt Thơm Toàn Thân Và Tóc Silkygirl Hương Magic Dream + Floral Blush,Fragrance Mist Hair And Body #Magic Dream & #Floral Blush,368000,396000,100ml,7
362,Nước Hoa Nữ Narciso Rodriguez Musc Noir For Her EDP,Eau De Parfum,3492000,3880000,60ml,10
363,Nước Hoa Nữ Chloé Love Story EDP,Eau De Parfum,3370000,4720000,60ml,29
364,Nước Hoa Nữ Narciso Rodriguez For Her EDP,Eau De Parfum,3492000,3880000,60ml,10
365,Nước Hoa Nữ Narciso Rodriguez Ambrée EDP,Eau De Parfum,3348000,3940000,60ml,15
366,Nước Hoa Nữ Narciso Rodriguez Pure Musc For Her EDP,Eau De Parfum,3492000,3880000,60ml,10
367,Nước Hoa Nữ Narciso Rodriguez For Her EDP,Eau De Parfum,5220000,5800000,100ml,10
368,Nước Hoa Nữ Narciso Rodriguez For Her EDP,Eau De Parfum,6894000,7660000,200ml,10
369,Nước Hoa Nữ Narciso Rodriguez For Her EDT,Eau De Toilette,4950000,6940000,200ml,29
370,Nước Hoa Nữ Marc Jacobs Daisy Ever So Fresh EDP,Eau De Parfum,3600000,4440000,60ml,19
371,Nước Hoa Nữ Narciso Rodriguez For Her EDT,Eau De Toilette,3380000,5220000,100ml,35
372,Nước Hoa Nữ Narciso Rodriguez Pure Musc For Her EDP,Eau De Parfum,7274000,7660000,200ml,5
373,Nước Hoa Nam Tommy Impact Intense EDP,Impact Intense Eau De Perfume,4500000,4500000,100ml,0
374,Nước Hoa Nam De Memoria EDP #12 Bagan,Eau De Parfum,740000,1100000,60ml,33
375,Nước Hoa Nữ Carolina Herrera Very Good Girl Glam EDP,Very Good Girl Glam Eau De Parfum,7866000,8740000,160ml,10
376,Nước Hoa Nữ Marc Jacobs Daisy Love EDT,Eau De Toilette,2320000,3880000,60ml,40
377,Nước Hoa Nữ Tommy Now Girl EDT,Now Girl Eau De Toilette,2720000,2720000,60ml,0
378,Nước Hoa Nam Tommy Now EDT,Now Eau De Toilette,2720000,2720000,60ml,0
379,Nước Hoa Nữ Carolina Herrera Very Good Girl EDP,Very Good Girl Eau De Parfum,3960000,4400000,60ml,10
380,Nước Hoa Nam TOMMY Cologne EDT,Cologne Spray,1798000,2720000,60ml,34
381,Nước Hoa Nữ Marc Jacobs Daisy Dream EDT,Eau De Toilette,1978000,2300000,60ml,14
382,Nước Hoa Nữ Issey Miyake L'Eau D'Issey EDT,Eau De Toilette,4068000,4520000,100ml,10
383,Nước Hoa Nam Issey Miyake L'Eau D'Issey Eau & Cèdre,Pour Homme Eau De Toilette Intense,5166000,5740000,200ml,10
384,Nước Hoa Nữ Issey Miyake A Drop D'Issey EDP,Eau De Parfum,5850000,6500000,180ml,10
385,Nước Hoa Nam Tommy Impact EDT,Impact Intense Eau De Toilette,4260000,4260000,100ml,0
386,Nước Hoa Nam Calvin Klein Defy For Men EDT,Eau De Toilette,1358000,2580000,60ml,47
387,Nước Hoa Nữ Laura Anne Dynamic For Her (Xanh),Eau de Parfum,396000,598000,100ml,34
388,Nước Hoa Nữ Issey Miyake A Drop D'Issey EDP Fraiche,Eau De Parfum Fraiche,3042000,3380000,60ml,10
389,Nước Hoa Nam Nữ Calvin Klein One EDT,Eau De Toilette,1626000,2940000,100ml,45
390,Nước Hoa Nữ Tommy Girl Cologne EDT,Tommy Girl Cologne Eau de Toilette Spray,1678000,2720000,60ml,38
391,Nước Hoa Nữ Marc Jacobs Daisy Love Eau So Sweet EDT,Eau De Toilette,3500000,3880000,60ml,10
392,"Nước Hoa Nữ Verites Starstruck Ngọt Ngào, Quyến Rũ",,462000,578000,100ml,20
393,"Nước Hoa Nữ Verites Midnight Bloom Quyến Rũ, Thanh Lịch",,462000,578000,100ml,20
394,[HSD 02/2025] Nước Hoa Nam De Memoria EDP #12 Bagan,Eau De Parfum,666000,666000,60ml,0
395,Nước Hoa Nam Nữ De Memoria EDP #11 Tai O,Eau De Parfum,708000,1100000,60ml,36
396,Nước Hoa Nam Versace Eros Flame EDP,Eros Flame Eau de Parfum Spray,2632000,4378000,100ml,40
397,[HSD 06/2024] Xịt Thơm Toàn Thân Bodymiss Hương Money Honey,,88000,158000,70ml,44
398,Nước Hoa Nam Moschino Toy Boy EDP,,4510000,4510000,200ml,0
399,Nước Hoa Nam Versace Pour Homme Dylan Blue EDT,Pour Homme Dylan Blue Eau De Toilette,3630000,4840000,200ml,25
400,Nước Hoa Nữ Jean Paul Gaultier Scandal EDP,Scandal Eau De Parfum Spray,3780000,4200000,60ml,10
401,Nước Hoa Nữ Chloé Nomade EDP,Eau De Parfum,3700000,4500000,60ml,18
402,Nước Hoa Nữ Burberry Her Blossom EDT,Her Blossom Eau de Toilette,5406000,8060000,200ml,33
403,[HSD 02/2025] Nước Hoa Nữ De Memoria EDP #07 Hoian,Eau De Parfum,638000,638000,60ml,0
404,Nước Hoa Nữ Marc Jacobs Perfect EDP,Perfect Eau De Parfum,5178000,8220000,200ml,37
405,Nước Hoa Nữ Chloé L'Eau Eau De Toilette,L'Eau Eau De Toilette,5670000,8260000,200ml,31
406,Nước Hoa Nữ Chloé Nomade EDP,Eau De Parfum,5864000,8580000,150ml,32
407,Nước Hoa Nam Lacoste Match Point EDT,Match Point Eau de Toilette,3576000,5940000,200ml,40
408,Nước Hoa Nữ Signorina Misteriosa,Signorina Misteriosa Eau de Parfum,3640000,4660000,200ml,22
409,[HSD 06/2024] Xịt Thơm Toàn Thân Bodymiss Hương Blinded Love,,88000,158000,70ml,44
410,[HSD 03/2025] Nước Hoa Nữ Chloé L'Eau Eau De Toilette,L'Eau Eau De Toilette,4536000,8260000,200ml,45
411,Nước Hoa Nam Versace Man Eau Fraiche EDT,Eau Fraiche Eau De Toilette,3724000,4598000,200ml,19
412,Nước Hoa Nữ Moschino Toy 2 EDP,Toy 2 Eau De Parfum,3080000,4884000,200ml,37
413,Nước Hoa Nữ Burberry Her EDP,Her Eau De Parfum,5934000,9980000,200ml,41
414,[HSD 06/2024] Xịt Thơm Toàn Thân Bodymiss Hương Care Free,,88000,158000,70ml,44
415,Nước Hoa Nữ Versace Yellow Diamond EDT,Yellow Diamond Eau De Toilette Natural Spray,3978000,5412000,180ml,26
