sothutu,name,brand,pricenew,sale,priceold,volume
205,Nước Hoa Azzaro The Most Wanted EDP Intense,Azzaro,2658000,8%,2890000,100ml
206,Nước hoa Giorgio Armani Acqua Di Gio Parfum Vaporisateur Rechargeable Refillable Spray,Giorgio Armani,1851000,5%,1949000,100ml
207,Nước hoa Gucci Guilty Elixir De Parfum Pour Homme,Gucci,4066000,5%,4280000,100ml
208,Nước hoa Hugo Boss Bottled Elixir,Hugo Boss,3413000,8%,3710000,100ml
209,Nước hoa Calvin Klein Defy Parfum,Calvin Klein,3808000,8%,4140000,100ml
210,Nước hoa Hugo Boss Boss Bottled Parfum,Hugo Boss,4075000,8%,4430000,100ml
211,Nước hoa Montblanc Explorer Platinum EDP,Mont Blanc,2802000,5%,2950000,100ml
212,Nước hoa Coach Green EDT,Coach,2208000,8%,2400000,100ml
213,Nước Hoa Giorgio Armani Acqua Di Gio For Men EDT,Giorgio Armani,2896000,5%,3049000,100ml
214,Nước hoa Armani Code For Men EDT,Giorgio Armani,2612000,5%,2750000,100ml
215,Nước hoa Y EDP,Yves Saint Laurent,4406000,4%,4590000,100ml
216,Nước hoa Prada Luna Rossa EDT,Prada,2894000,5%,3047000,100ml
217,Nước Hoa Prada Luna Rossa Ocean EDT,Prada,2894000,5%,3047000,100ml
218,Nước hoa Giorgio Armani Acqua Di Gio EDP,Giorgio Armani,3751000,5%,3949000,100ml
219,Nước hoa Dolce&Gabbana Light Blue Summer Vibes Pour Homme EDT,Dolce & Gabbana,3408000,4%,3550000,100ml
220,Nước hoa Scandal Pour Homme Le Parfum EDP,Jean Paul Gaultier,3534000,5%,3720000,100ml
221,Nước hoa Versace Eros Parfum,Versace,3116000,8%,3388000,100ml
222,Nước hoa Calvin Klein Defy EDP,Calvin Klein,2769000,8%,3010000,100ml
223,Nước hoa Burberry Hero EDP,Burberry,4626000,5%,4870000,100ml
224,Nước hoa Burberry Hero EDP,Burberry,451000,5%,475000,100ml
225,Nước hoa Gucci Guilty Pour Homme Parfum,Gucci,4750000,5%,5000000,100ml
226,Nước hoa Paco Rabanne Fame EDP,Paco Rabanne,3847000,5%,4050000,100ml
227,Nước hoa Yves Saint Laurent Libre L'Absolu Platin EDP,Yves Saint Laurent,5299000,4%,5520000,100ml
228,Nước hoa Calvin Klein My Euphoria EDP,Calvin Klein,3275000,8%,3560000,100ml
229,Nước hoa Paco Rabanne Fame Intense EDP,Paco Rabanne,4560000,5%,4800000,100ml
230,Nước hoa Dolce & Gabbana The Only One EDP Intense,Dolce & Gabbana,5040000,4%,5250000,100ml
231,Nước hoa Dolce&Gabbana The One Gold EDP Intense,Dolce & Gabbana,4656000,4%,4850000,100ml
232,Nước hoa Dolce & Gabbana Q EDP Intense,Dolce & Gabbana,4896000,4%,5100000,100ml
233,Nước hoa L'Eau d'IsseySolar Violet EDTI,Issey Miyake,3078000,5%,3240000,100ml
234,Nước hoa L'Eau d'Issey pour Homme Solar Lavender EDTI,Issey Miyake,1957000,5%,2060000,100ml
235,Giftset YSL Black Opium EDP 4PCS,Yves Saint Laurent,3715000,4%,3870000,100ml
236,Giftset YSL Black Opium EDP 3PCS,Yves Saint Laurent,3897000,4%,4060000,100ml
237,Nước hoa Carolina Herrera Good Girl EDP,Carolina Herrera,1909000,5%,2010000,100ml
238,Giftset YSL Libre EDP 3PCS,Yves Saint Laurent,3715000,4%,3870000,100ml
239,Giftset YSL Libre EDP 3PCS,Yves Saint Laurent,4848000,4%,5050000,100ml
240,Issey Miyake Ladies A Drop D'issey Essentielle EDP,Issey Miyake,3116000,5%,3280000,100ml
241,Narciso Rodriguez Musc Nude For Her EDP,Narciso Rodriguez,3657000,5%,3850000,100ml
242,Nước hoa Chloé Signature Lumineuse Roses EDP,Chloe,4949000,8%,5380000,100ml
243,Nước hoa Burberry Her Petals Limited Edition,Burberry,4797000,5%,5050000,100ml
244,Giftset Lancôme Miracle EDP 3PCS,Lancôme,2016000,4%,2100000,100ml
245,Giftset Lancôme La Nuit Tresor 3PCS,Lancôme,2688000,4%,2800000,100ml
246,Nước hoa Valentino Donna Born In Roma Intense EDP,Valentino,4493000,5%,4730000,100ml
247,NƯỚC HOA LANCÔME LA VIE EST BELLE IRIS ABSOLU EDP,Lancôme,4704000,4%,4900000,100ml
248,Nước hoa LIBRE EDT,Yves Saint Laurent,4550000,4%,4740000,100ml
249,Nước hoa Black Opium EDP,Yves Saint Laurent,4848000,4%,5050000,100ml
250,Nước hoa Coach Love EDP,Coach,2668000,8%,2900000,100ml
251,Nước hoa JPG FEMME DIVINE 23 EDP,Jean Paul Gaultier,2118000,5%,2230000,100ml
252,Nước hoa Giorgio Armani My Way Parfum EDP,Giorgio Armani,3469000,5%,3652000,100ml
253,Nước hoa Giorgio Armani Sì Passione Eclat EDP,Giorgio Armani,3895000,5%,4100000,100ml
254,Nước hoa Giorgio Armani Sì Passione Intense EDP,Giorgio Armani,3410000,5%,3590000,100ml
255,Nước hoa Giorgio Armani Si EDP,Giorgio Armani,3895000,5%,4100000,100ml
256,Nước hoa Mon Paris Intensement EDP,Yves Saint Laurent,5030000,4%,5240000,100ml
257,NƯỚC HOA YSL LIBRE EDP - HOL 2023 OS,Yves Saint Laurent,3715000,4%,3870000,100ml
258,Nước hoa Valentino Valentina EDP,Valentino,3270000,5%,3443000,100ml
259,Nước hoa Valentino Donna Born In Roma Coral Fantasy EDP,Valentino,4131000,5%,4349000,100ml
260,Nước hoa Valentino Donna Born In Roma Yellow Dream EDP,Valentino,4131000,5%,4349000,100ml
261,Nước hoa Valentino Donna Born In Roma EDP,Valentino,4131000,5%,4349000,100ml
262,Nước hoa Valentino Donna EDP,Valentino,4132000,5%,4350000,100ml
263,Nước Hoa Nữ Diamond Femme (Trắng),Eau De Parfum,602000,45%,1098000,90ml
264,Nước Hoa Vùng Kín Foellie Hương Hoa Hồng Mạnh Mẽ,Inner Perfume #Eau De Bijou,288000,59%,700000,10ml
265,Nước Hoa Nữ Diamond Femme Pink (Hồng),Eau De Parfum,550000,50%,1098000,90ml
266,Nước Hoa Nam Diamond Homme (Đen),Eau De Parfum,550000,50%,1098000,90ml
267,Nước Hoa Nữ Diamond Femme Ruby Red (Đỏ),Eau De Parfum,602000,45%,1098000,90ml
268,Nước Hoa Nữ Gennie Little Gold Dress,Little Gold Dress,292000,33%,438000,100ml
269,Nước Hoa Vùng Kín Foellie Hương Trái Cây Ngọt Ngào,Inner Perfume #Eau De Fleur,358000,49%,700000,10ml
270,Nước Hoa Nữ Gennie Little Black Dress,Little Black Dress,292000,33%,438000,100ml
271,Xịt Thơm Toàn Thân Malissa Kiss Hương Crazy in Love,Perfume Body Mist,268000,21%,338000,176ml
273,Nước Hoa Nữ De Memoria EDP #05 Montpellier,Eau De Parfum,708000,36%,1100000,60ml
274,Nước Hoa Nữ De Memoria #02 Val De Loire Hương Tươi Mát,Eau De Parfum,708000,36%,1100000,60ml
275,Xịt Thơm Toàn Thân Bodymiss Hương Stop & Stare,,108000,32%,158000,70ml
276,Nước Hoa Nữ Gennie Little Red Dress,Little Red Dress,220000,50%,438000,100ml
277,Nước Hoa Nam Gota Iconic Eau de Parfum,Iconic Perfume For Men Eau de Parfum,296000,50%,592000,100ml
279,Nước Hoa Nữ De Memoria EDP #04 Dresden,Eau De Parfum,708000,36%,1100000,60ml
280,Nước Hoa Vùng Kín Foellie Hương Hoa Hồng Trắng,Inner Perfume #Eau De Ciel,358000,49%,700000,10ml
281,Nước Hoa Nam Diamond Homme Dark Blue (Xanh),Eau De Parfum,602000,45%,1098000,90ml
282,Nước Hoa Nữ Gennie Little Rose Dress Bản Giới Hạn,Little Rose Dress For Her,350000,50%,698000,100ml
283,Nước Hoa Vùng Kín Foellie Hoa Đinh Hương Bản Giới Hạn,Inner Perfume #Eau De Tuileries,378000,46%,700000,10ml
284,Nước Hoa Nữ Versace Bright Crystal Absolu EDP,Bright Crystal Absolu Eau de Parfum Natural Spray,3578000,39%,5830000,180ml
285,Nước Hoa Nam Diamond Homme Brown (Nâu),Eau De Parfum,602000,40%,998000,90ml
286,Nước Hoa Nữ Carolina Herrera Good Girl EDP,Good Girl Eau De Parfum Natural Spray,3618000,10%,4020000,60ml
287,Xịt Thơm Toàn Thân Malissa Kiss Hương Sweet Poison,Perfume Mist,268000,21%,338000,176ml
288,Xịt Thơm Toàn Thân Malissa Kiss Hương Adore You,Perfume Mist,268000,21%,338000,176ml
289,Nước Hoa Nam Versace Pour Homme EDT,Pour Homme Eau De Toilette Spray,2886000,19%,3564000,100ml
290,Nước Hoa Nữ Laura Anne Allure For Her (Hồng),Eau de Parfum,368000,38%,598000,100ml
291,Nước Hoa Nữ Lancôme La Nuit Tresor EDP,La Nuit Tresor Eau De Parfum,5640000,9%,6200000,150ml
292,Nước Hoa Nam Paco Rabanne 1 Million Parfum EDP,1 Million Parfum EDP,6048000,10%,6720000,200ml
293,Xịt Thơm Toàn Thân Malissa Kiss Hương Nước Hoa Passion,Perfume Mist,268000,21%,338000,176ml
294,Nước Hoa Nữ Versace Bright Crystal EDT,Bright Crystal Eau de Toilette Spray,2380000,59%,5810000,100ml
295,Nước Hoa Vùng Kín Foellie Hương Hoa Nhài Bản Giới Hạn,Inner Perfume #Eau De Venus,328000,53%,700000,10ml
296,Nước Hoa Nữ De Memoria EDP #03 Granada,Eau De Parfum,708000,36%,1100000,60ml
297,Nước Hoa Nữ De Memoria EDP #06 Grasse,Eau De Parfum,708000,36%,1100000,60ml
298,Nước Hoa Nữ Verites After The Rain,After The Rain Inspired By My Burberry,382000,20%,478000,100ml
299,Nước Hoa Nam Versace Eros Flame EDP,Eros Flame Eau de Parfum Spray,4472000,19%,5522000,200ml
300,Xịt Thơm Toàn Thân Malissa Kiss Hương Lost In Paradise,Perfume Body Mist,268000,21%,338000,176ml
301,Xịt Thơm Toàn Thân Malissa Kiss Hương Nước Hoa Delight,Perfume Mist,268000,21%,338000,176ml
302,Xịt Thơm Toàn Thân Malissa Kiss Hương Fresh Escape,Perfume Mist,168000,50%,338000,176ml
303,Nước Hoa Nam Gota Urban Eau de Parfum,Urban Perfume For Men Eau de Parfum,416000,30%,592000,100ml
304,Xịt Thơm Toàn Thân Malissa Kiss Sweet Vanilla Cotton,Perfume Body Mist,268000,21%,338000,176ml
305,Nước Hoa Nữ De Memoria #01 Spello Hương Mê Hoặc,Eau De Parfum,706000,36%,1100000,60ml
306,Nước Hoa Vùng Kín Foellie Hương Gỗ Tươi Mát,Inner Perfume #Eau De Foret,358000,17%,430000,10ml
307,Nước Hoa Nam Nữ Verites Siren,Siren Inspired By Good Girl Velvet Fatale,382000,20%,478000,100ml
308,Xịt Thơm Toàn Thân Bodymiss Hương Funky Fresh,,218000,30%,312000,210ml
309,Bộ 3 Chai Nước Hoa Nam Nerman 4000/chai,"Hương Thơm Mạnh Mẽ Lôi Cuốn, Lưu Hương Tới 8H",952000,5%,998000,20ml
310,Xịt Thơm Toàn Thân Và Tóc Silkygirl Hương Love Bloom,Fragrance Mist Hair And Body #Love Bloom,196000,1%,198000,100ml
311,Xịt Thơm Toàn Thân Malissa Kiss Hương Nước Hoa Charm,Perfume Mist,268000,21%,338000,176ml
312,Nước Hoa Vùng Kín Foellie Hương Hoa Anh Đào,Inner Perfume #Eau De Cherry Blossom,358000,49%,700000,10ml
313,Nước Hoa Nữ Verites Joie De Vivre,Joie De Vivre Inspired by Miss Dior,382000,20%,478000,100ml
314,Nước Hoa Nam Laura Anne Mystic For Him (Đen),Eau de Parfum,368000,38%,598000,100ml
315,Nước Hoa Vùng Kín Nữ Loli And The Wolf Midnight Forest,Hương Hoa Ngọt Ngào Quyến Rũ Lãng Mạn,496000,17%,600000,16ml
316,Xịt Thơm Toàn Thân Bodymiss Hương Funky Fresh,,108000,32%,158000,70ml
317,Nước Hoa Nữ Verites Secretly Sexy,Secretly Sexy Inspired By Victoria's Secret Very Sexy,382000,20%,478000,100ml
318,Nước Hoa Nam Verites Savage Trail,Savage Trail Inspired by Dior Sauvage,382000,20%,478000,100ml
319,Xịt Thơm Toàn Thân Và Tóc Silkygirl Hương Magic Dream,Fragrance Mist Hair And Body #Magic Dream,196000,1%,198000,100ml
320,Xịt Thơm Toàn Thân Bodymiss Hương Stop & Stare,,218000,30%,312000,210ml
321,Nước Hoa Vùng Kín Foellie Hương Hoa Ngọc Lan Tây,Inner Perfume #Eau De Bebe,358000,49%,700000,10ml
322,Xịt Thơm Toàn Thân Bodymiss Hương Blinded Love,,108000,32%,158000,70ml
323,Xịt Thơm Toàn Thân Bodymiss Hương Hide & Seek,,108000,32%,158000,70ml
324,Nước Hoa Nam Nữ De Memoria EDP #09 Lampang,Eau De Parfum,740000,33%,1100000,60ml
325,Nước Hoa Vùng Kín Foellie Hương Dâu Tây Bản XO Giới Hạn,Inner Perfume #Eau De Miel,358000,49%,700000,10ml
326,Xịt Thơm Toàn Thân Bodymiss Hương Hide & Seek,,218000,30%,312000,210ml
327,Nước Hoa Nam Laura Anne Allure For Him (Đỏ),Eau de Parfum,298000,50%,598000,100ml
328,Nước Hoa Vùng Kín Foellie Hương Biển Thơm Mát,Inner Perfume #Eau De Vogue,358000,17%,430000,10ml
329,Xịt Thơm Toàn Thân Malissa Kiss Hương Happy Sundae,Perfume Mist,168000,50%,338000,176ml
330,"Nước Hoa Nữ Verites Her Summer Nữ Tính, Dịu Dàng",,462000,20%,578000,100ml
331,Xịt Thơm Toàn Thân Bodymiss Hương Care Free,,108000,32%,158000,70ml
332,Nước Hoa Nam Nữ De Memoria EDP #10 Jiufen,Eau De Parfum,708000,36%,1100000,60ml
333,Xịt Thơm Toàn Thân Bodymiss Hương Money Honey,,218000,30%,312000,210ml
334,Xịt Thơm Toàn Thân Malissa Kiss Hương Call Me Maybe,Perfume Mist,268000,21%,338000,176ml
335,Xịt Thơm Toàn Thân Malissa Kiss Hương Nước Hoa Tender,Perfume Mist,268000,21%,338000,176ml
336,Xịt Thơm Toàn Thân Malissa Kiss Hương Cozy Beach,Perfume Mist,168000,50%,338000,176ml
338,Nước Hoa Nam Nữ Verites Santal Lab,Santal Lab Inspired By Le Labo Santal 33,478000,0%,478000,100ml
339,Xịt Thơm Toàn Thân Malissa Kiss Hương Nước Hoa Fierce,Perfume Mist,268000,21%,338000,176ml
340,Xịt Thơm Toàn Thân Bodymiss Hương Money Honey,,108000,32%,158000,70ml
341,Combo 2 Xịt Thơm Toàn Thân Và Tóc Silkygirl Hương Love Bloom + Floral Blush,Fragrance Mist Hair And Body #Love Bloom & #Floral Blush,320000,9%,352000,100ml
342,[Mini] Nước Hoa Nam Calvin Klein Defy For Men EDT,Defy For Men Eau de Toilette,760000,0%,760000,20ml
343,Nước Hoa Nữ Gennie Little Rose Dress Bản Giới Hạn,Little Rose Dress For Her,180000,50%,358000,20ml
344,Nước Hoa Nữ De Memoria EDP #07 Hoian,Eau De Parfum,708000,36%,1100000,60ml
345,Nước Hoa Vùng Kín Foellie Cherry Đen Bản Giới Hạn,Inner Perfume #Eau De Noir,320000,54%,700000,10ml
346,"Nước Hoa Nữ Verites Beach Bomb Nhẹ Nhàng, Tươi Mát",,462000,20%,578000,100ml
347,"Nước Hoa Nam Verites De Club Cuốn Hút, Lịch Lãm",,462000,20%,578000,100ml
348,Combo 2 Xịt Thơm Toàn Thân Và Tóc Silkygirl Hương Magic Dream + Love Bloom,Fragrance Mist Hair And Body #Magic Dream & #Love Bloom,368000,7%,396000,100ml
349,Xịt Thơm Toàn Thân Và Tóc Silkygirl Hương Floral Blush,Fragrance Mist Hair And Body #Floral Blush,196000,1%,198000,100ml
350,Nước Hoa Unisex Verites Chasing Cloud Tươi Mới,,462000,20%,578000,100ml
351,Nước Hoa Nữ Laura Anne Mystic For Her (Xám),Eau de Parfum,374000,37%,598000,100ml
352,Nước Hoa Nam Laura Anne Dynamic For Him (Xanh),Dynamic For Him,446000,25%,598000,100ml
353,Xịt Thơm Toàn Thân Malissa Kiss Hương Nước Hoa Desire,Perfume Mist,268000,21%,338000,176ml
354,Xịt Thơm Toàn Thân Malissa Kiss Hương Nước Hoa Sweetie,Perfume Mist,268000,21%,338000,176ml
355,Xịt Thơm Toàn Thân Malissa Kiss Hương Nước Hoa Hottie,Perfume Mist,268000,21%,338000,176ml
356,Xịt Thơm Toàn Thân Kiss My Body Sweetie,Perfume Mist,336000,1%,338000,176ml
357,Nước Hoa Nữ Armaf Club De Nuit Woman,Club De Nuit Woman EDP,1256000,29%,1780000,210ml
358,Xịt Thơm Toàn Thân Kiss My Body Hương Crazy In Love,Perfume Mist,286000,15%,338000,176ml
359,Xịt Thơm Toàn Thân Kiss My Body Sweet Vanilla Cotton,Perfume Mist,286000,15%,338000,176ml
360,Xịt Thơm Toàn Thân Kiss My Body Hương Delight,Perfume Mist,286000,15%,338000,176ml
361,Combo 2 Xịt Thơm Toàn Thân Và Tóc Silkygirl Hương Magic Dream + Floral Blush,Fragrance Mist Hair And Body #Magic Dream & #Floral Blush,368000,7%,396000,100ml
362,Nước Hoa Nữ Narciso Rodriguez Musc Noir For Her EDP,Eau De Parfum,3492000,10%,3880000,60ml
363,Nước Hoa Nữ Chloé Love Story EDP,Eau De Parfum,3370000,29%,4720000,60ml
364,Nước Hoa Nữ Narciso Rodriguez For Her EDP,Eau De Parfum,3492000,10%,3880000,60ml
365,Nước Hoa Nữ Narciso Rodriguez Ambrée EDP,Eau De Parfum,3348000,15%,3940000,60ml
366,Nước Hoa Nữ Narciso Rodriguez Pure Musc For Her EDP,Eau De Parfum,3492000,10%,3880000,60ml
367,Nước Hoa Nữ Narciso Rodriguez For Her EDP,Eau De Parfum,5220000,10%,5800000,100ml
368,Nước Hoa Nữ Narciso Rodriguez For Her EDP,Eau De Parfum,6894000,10%,7660000,200ml
369,Nước Hoa Nữ Narciso Rodriguez For Her EDT,Eau De Toilette,4950000,29%,6940000,200ml
370,Nước Hoa Nữ Marc Jacobs Daisy Ever So Fresh EDP,Eau De Parfum,3600000,19%,4440000,60ml
371,Nước Hoa Nữ Narciso Rodriguez For Her EDT,Eau De Toilette,3380000,35%,5220000,100ml
372,Nước Hoa Nữ Narciso Rodriguez Pure Musc For Her EDP,Eau De Parfum,7274000,5%,7660000,200ml
373,Nước Hoa Nam Tommy Impact Intense EDP,Impact Intense Eau De Perfume,4500000,0%,4500000,100ml
374,Nước Hoa Nam De Memoria EDP #12 Bagan,Eau De Parfum,740000,33%,1100000,60ml
375,Nước Hoa Nữ Carolina Herrera Very Good Girl Glam EDP,Very Good Girl Glam Eau De Parfum,7866000,10%,8740000,160ml
376,Nước Hoa Nữ Marc Jacobs Daisy Love EDT,Eau De Toilette,2320000,40%,3880000,60ml
377,Nước Hoa Nữ Tommy Now Girl EDT,Now Girl Eau De Toilette,2720000,0%,2720000,60ml
378,Nước Hoa Nam Tommy Now EDT,Now Eau De Toilette,2720000,0%,2720000,60ml
379,Nước Hoa Nữ Carolina Herrera Very Good Girl EDP,Very Good Girl Eau De Parfum,3960000,10%,4400000,60ml
380,Nước Hoa Nam TOMMY Cologne EDT,Cologne Spray,1798000,34%,2720000,60ml
381,Nước Hoa Nữ Marc Jacobs Daisy Dream EDT,Eau De Toilette,1978000,14%,2300000,60ml
382,Nước Hoa Nữ Issey Miyake L'Eau D'Issey EDT,Eau De Toilette,4068000,10%,4520000,100ml
383,Nước Hoa Nam Issey Miyake L'Eau D'Issey Eau & Cèdre,Pour Homme Eau De Toilette Intense,5166000,10%,5740000,200ml
384,Nước Hoa Nữ Issey Miyake A Drop D'Issey EDP,Eau De Parfum,5850000,10%,6500000,180ml
385,Nước Hoa Nam Tommy Impact EDT,Impact Intense Eau De Toilette,4260000,0%,4260000,100ml
386,Nước Hoa Nam Calvin Klein Defy For Men EDT,Eau De Toilette,1358000,47%,2580000,60ml
387,Nước Hoa Nữ Laura Anne Dynamic For Her (Xanh),Eau de Parfum,396000,34%,598000,100ml
388,Nước Hoa Nữ Issey Miyake A Drop D'Issey EDP Fraiche,Eau De Parfum Fraiche,3042000,10%,3380000,60ml
389,Nước Hoa Nam Nữ Calvin Klein One EDT,Eau De Toilette,1626000,45%,2940000,100ml
390,Nước Hoa Nữ Tommy Girl Cologne EDT,Tommy Girl Cologne Eau de Toilette Spray,1678000,38%,2720000,60ml
391,Nước Hoa Nữ Marc Jacobs Daisy Love Eau So Sweet EDT,Eau De Toilette,3500000,10%,3880000,60ml
392,"Nước Hoa Nữ Verites Starstruck Ngọt Ngào, Quyến Rũ",,462000,20%,578000,100ml
393,"Nước Hoa Nữ Verites Midnight Bloom Quyến Rũ, Thanh Lịch",,462000,20%,578000,100ml
394,[HSD 02/2025] Nước Hoa Nam De Memoria EDP #12 Bagan,Eau De Parfum,666000,0%,666000,60ml
395,Nước Hoa Nam Nữ De Memoria EDP #11 Tai O,Eau De Parfum,708000,36%,1100000,60ml
396,Nước Hoa Nam Versace Eros Flame EDP,Eros Flame Eau de Parfum Spray,2632000,40%,4378000,100ml
397,[HSD 06/2024] Xịt Thơm Toàn Thân Bodymiss Hương Money Honey,,88000,44%,158000,70ml
398,Nước Hoa Nam Moschino Toy Boy EDP,,4510000,0%,4510000,200ml
399,Nước Hoa Nam Versace Pour Homme Dylan Blue EDT,Pour Homme Dylan Blue Eau De Toilette,3630000,25%,4840000,200ml
400,Nước Hoa Nữ Jean Paul Gaultier Scandal EDP,Scandal Eau De Parfum Spray,3780000,10%,4200000,60ml
401,Nước Hoa Nữ Chloé Nomade EDP,Eau De Parfum,3700000,18%,4500000,60ml
402,Nước Hoa Nữ Burberry Her Blossom EDT,Her Blossom Eau de Toilette,5406000,33%,8060000,200ml
403,[HSD 02/2025] Nước Hoa Nữ De Memoria EDP #07 Hoian,Eau De Parfum,638000,0%,638000,60ml
404,Nước Hoa Nữ Marc Jacobs Perfect EDP,Perfect Eau De Parfum,5178000,37%,8220000,200ml
405,Nước Hoa Nữ Chloé L'Eau Eau De Toilette,L'Eau Eau De Toilette,5670000,31%,8260000,200ml
406,Nước Hoa Nữ Chloé Nomade EDP,Eau De Parfum,5864000,32%,8580000,150ml
407,Nước Hoa Nam Lacoste Match Point EDT,Match Point Eau de Toilette,3576000,40%,5940000,200ml
408,Nước Hoa Nữ Signorina Misteriosa,Signorina Misteriosa Eau de Parfum,3640000,22%,4660000,200ml
409,[HSD 06/2024] Xịt Thơm Toàn Thân Bodymiss Hương Blinded Love,,88000,44%,158000,70ml
410,[HSD 03/2025] Nước Hoa Nữ Chloé L'Eau Eau De Toilette,L'Eau Eau De Toilette,4536000,45%,8260000,200ml
411,Nước Hoa Nam Versace Man Eau Fraiche EDT,Eau Fraiche Eau De Toilette,3724000,19%,4598000,200ml
412,Nước Hoa Nữ Moschino Toy 2 EDP,Toy 2 Eau De Parfum,3080000,37%,4884000,200ml
413,Nước Hoa Nữ Burberry Her EDP,Her Eau De Parfum,5934000,41%,9980000,200ml
414,[HSD 06/2024] Xịt Thơm Toàn Thân Bodymiss Hương Care Free,,88000,44%,158000,70ml
415,Nước Hoa Nữ Versace Yellow Diamond EDT,Yellow Diamond Eau De Toilette Natural Spray,3978000,26%,5412000,180ml
