sothutu,name,brand,pricenew,sale,priceold,volume
416,Nước Hoa Nam Versace Pour Homme Eau De Toilette,Pour Homme Eau De Toilette,3088000,35%,4752000,200ml
417,[HSD 02/2025] Nước Hoa Nữ Laura Anne Dynamic For Her (Xanh),Eau de Parfum,378000,37%,598000,100ml
418,[HSD 07/2024] Xịt Thơm Toàn Thân Bodymiss Hương Blinded Love,,88000,44%,158000,70ml
419,[HSD 02/2025] Nước Hoa Nam Nữ De Memoria EDP #09 Lampang,Eau De Parfum,666000,0%,666000,60ml
420,[HSD 06/2024] Xịt Thơm Toàn Thân Bodymiss Hương Funky Fresh,,88000,44%,158000,70ml
421,Nước Hoa Nữ Marc Jacobs Daisy Intense EDP,Daisy Intense Eau De Parfum,2528000,45%,4580000,60ml
422,Nước Hoa Nam Calvin Klein Euphoria For Men EDT,Euphoria For Men Eau de Toilette,3354000,40%,5560000,200ml
423,[HSD 01/2025] Nước Hoa Nữ Marc Jacobs Daisy Intense EDP,Daisy Intense Eau De Parfum,406000,30%,580000,8ml
424,[Mini] Nước Hoa Nữ Burberry Her Blossom EDT 1.,,136000,1%,138000,10ml
425,Nước Hoa Nữ Lancôme La Vie Est Belle Bản Giới Hạn OUI,La Vie Est Belle Oui L'eau De Parfum D'exception,4478000,17%,5400000,100ml
426,Nước Hoa Nữ Chloé Eau De Parfum,,5686000,34%,8580000,150ml
427,[HSD 02/2025] Nước Hoa Nữ Laura Anne Mystic For Her (Xám),Eau de Parfum,312000,0%,312000,100ml
428,Nước Hoa Nam Mr.Burberry Indigo EDT,Indigo For Men EDT Spray,3018000,31%,4360000,100ml
429,[HSD 06/2024] Xịt Thơm Toàn Thân Bodymiss Hương Stop & Stare,,88000,44%,158000,70ml
430,[HSD 07/2024] Xịt Thơm Toàn Thân Bodymiss Hương Funky Fresh,,88000,44%,158000,70ml
431,Nước Hoa Nam Calvin Klein Free Eau De Toilette,Free EDT Spray,1966000,48%,3760000,100ml
432,Nước Hoa Nam Versace Eros EDP,Eros Eau De Parfum Natural Spray,3860000,30%,5522000,200ml
433,Nước Hoa Nữ Versace Bright Crystal EDT,Bright Crystal Eau De Toilette,2976000,46%,5520000,180ml
434,Nước Hoa Nam Gota Bouncy Eau de Parfum,Bouncy Perfume For Men Eau de Parfum,296000,50%,592000,100ml
435,Nước Hoa Nữ Salvatore Ferragamo Signorina Ribelle EDP,,3600000,44%,6446000,200ml
436,Xịt Thơm Toàn Thân Kiss My Body Adore You,Perfume Mist,336000,1%,338000,176ml
437,[HSD 07/2024] Xịt Thơm Toàn Thân Và Tóc Silkygirl Hương Magic Dream,Fragrance Mist Hair And Body #Magic Dream,90000,55%,198000,100ml
438,Xịt Nước Hoa Hằng Ngày X-Men Hương Tươi Mát,Everyday Perfume Mann Up Air,198000,6%,210000,100ml
439,Nước Hoa Nữ Narciso Rodriguez Pure Musc For Her EDP,Eau De Parfum,5220000,10%,5800000,100ml
440,Nước Hoa Nữ Versace Pour Femme Dylan Blue EDP,Pour Femme Dylan Blue Eau De Parfum Spray,4304000,35%,6622000,200ml
441,[HSD 07/2024] Nước Hoa Nữ Trussardi Sound Of Donna EDP,Sound Of Donna Eau De Parfum Spray,1452000,70%,4840000,200ml
442,Nước Hoa Vùng Kín Nam Loli & The Wolf Dark Monster,Hương Gỗ Tuyết Tùng Nam Tính Cuốn Hút,496000,17%,600000,20ml
443,Xịt Thơm Toàn Thân Kiss My Body Sweet Poison,Perfume Mist,336000,1%,338000,176ml
444,Xịt Thơm Toàn Thân Bodymiss Hương Blinded Love,,212000,32%,312000,210ml
445,[HSD 12/2024] Xịt Thơm Toàn Thân Malissa Kiss Hương Happy Sundae,Perfume Mist,154000,54%,338000,176ml
446,[HSD 11/2024] Xịt Thơm Toàn Thân Và Tóc Silkygirl Hương Floral Blush,Fragrance Mist Hair And Body #Floral Blush,88000,56%,198000,100ml
447,[HSD 01/2025] Xịt Thơm Toàn Thân Malissa Kiss Hương Cozy Beach,Perfume Mist,154000,54%,338000,176ml
448,[HSD 10/2024] Xịt Thơm Toàn Thân Và Tóc Silkygirl Hương Love Bloom,Fragrance Mist Hair And Body #Love Bloom,158000,20%,198000,100ml
449,Nước Hoa Nữ Marc Jacobs Daisy EDT,Daisy Eau De Toilette,4498000,37%,7140000,200ml
450,Xịt Thơm Toàn Thân Kiss My Body Hottie,Perfume Mist,336000,1%,338000,176ml
451,Nước Hoa Nữ Diamond Femme (Trắng),Eau De Parfum,903000,45%,1647000,135ml
452,Nước Hoa Vùng Kín Foellie Hương Hoa Hồng Mạnh Mẽ,Inner Perfume #Eau De Bijou,432000,59%,1050000,15ml
453,Nước Hoa Nữ Diamond Femme Pink (Hồng),Eau De Parfum,825000,50%,1647000,135ml
454,Nước Hoa Nam Diamond Homme (Đen),Eau De Parfum,825000,50%,1647000,135ml
455,Nước Hoa Nữ Diamond Femme Ruby Red (Đỏ),Eau De Parfum,903000,45%,1647000,135ml
456,Nước Hoa Nữ Gennie Little Gold Dress,Little Gold Dress,438000,33%,657000,150ml
457,Nước Hoa Vùng Kín Foellie Hương Trái Cây Ngọt Ngào,Inner Perfume #Eau De Fleur,537000,49%,1050000,15ml
458,Nước Hoa Nữ Gennie Little Black Dress,Little Black Dress,438000,33%,657000,150ml
459,Xịt Thơm Toàn Thân Malissa Kiss Hương Crazy in Love,Perfume Body Mist,402000,21%,507000,264ml
461,Nước Hoa Nữ De Memoria EDP #05 Montpellier,Eau De Parfum,1062000,36%,1650000,90ml
462,Nước Hoa Nữ De Memoria #02 Val De Loire Hương Tươi Mát,Eau De Parfum,1062000,36%,1650000,90ml
463,Xịt Thơm Toàn Thân Bodymiss Hương Stop & Stare,,162000,32%,237000,105ml
464,Nước Hoa Nữ Gennie Little Red Dress,Little Red Dress,330000,50%,657000,150ml
465,Nước Hoa Nam Gota Iconic Eau de Parfum,Iconic Perfume For Men Eau de Parfum,444000,50%,888000,150ml
467,Nước Hoa Nữ De Memoria EDP #04 Dresden,Eau De Parfum,1062000,36%,1650000,90ml
468,Nước Hoa Vùng Kín Foellie Hương Hoa Hồng Trắng,Inner Perfume #Eau De Ciel,537000,49%,1050000,15ml
469,Nước Hoa Nam Diamond Homme Dark Blue (Xanh),Eau De Parfum,903000,45%,1647000,135ml
470,Nước Hoa Nữ Gennie Little Rose Dress Bản Giới Hạn,Little Rose Dress For Her,525000,50%,1047000,150ml
471,Nước Hoa Vùng Kín Foellie Hoa Đinh Hương Bản Giới Hạn,Inner Perfume #Eau De Tuileries,567000,46%,1050000,15ml
472,Nước Hoa Nữ Versace Bright Crystal Absolu EDP,Bright Crystal Absolu Eau de Parfum Natural Spray,5367000,39%,8745000,270ml
473,Nước Hoa Nam Diamond Homme Brown (Nâu),Eau De Parfum,903000,40%,1497000,135ml
474,Nước Hoa Nữ Carolina Herrera Good Girl EDP,Good Girl Eau De Parfum Natural Spray,5427000,10%,6030000,90ml
475,Xịt Thơm Toàn Thân Malissa Kiss Hương Sweet Poison,Perfume Mist,402000,21%,507000,264ml
476,Xịt Thơm Toàn Thân Malissa Kiss Hương Adore You,Perfume Mist,402000,21%,507000,264ml
477,Nước Hoa Nam Versace Pour Homme EDT,Pour Homme Eau De Toilette Spray,4329000,19%,5346000,150ml
478,Nước Hoa Nữ Laura Anne Allure For Her (Hồng),Eau de Parfum,552000,38%,897000,150ml
479,Nước Hoa Nữ Lancôme La Nuit Tresor EDP,La Nuit Tresor Eau De Parfum,8460000,9%,9300000,225ml
480,Nước Hoa Nam Paco Rabanne 1 Million Parfum EDP,1 Million Parfum EDP,9072000,10%,10080000,300ml
481,Xịt Thơm Toàn Thân Malissa Kiss Hương Nước Hoa Passion,Perfume Mist,402000,21%,507000,264ml
482,Nước Hoa Nữ Versace Bright Crystal EDT,Bright Crystal Eau de Toilette Spray,3570000,59%,8715000,150ml
483,Nước Hoa Vùng Kín Foellie Hương Hoa Nhài Bản Giới Hạn,Inner Perfume #Eau De Venus,492000,53%,1050000,15ml
484,Nước Hoa Nữ De Memoria EDP #03 Granada,Eau De Parfum,1062000,36%,1650000,90ml
485,Nước Hoa Nữ De Memoria EDP #06 Grasse,Eau De Parfum,1062000,36%,1650000,90ml
486,Nước Hoa Nữ Verites After The Rain,After The Rain Inspired By My Burberry,573000,20%,717000,150ml
487,Nước Hoa Nam Versace Eros Flame EDP,Eros Flame Eau de Parfum Spray,6708000,19%,8283000,300ml
488,Xịt Thơm Toàn Thân Malissa Kiss Hương Lost In Paradise,Perfume Body Mist,402000,21%,507000,264ml
489,Xịt Thơm Toàn Thân Malissa Kiss Hương Nước Hoa Delight,Perfume Mist,402000,21%,507000,264ml
490,Xịt Thơm Toàn Thân Malissa Kiss Hương Fresh Escape,Perfume Mist,252000,50%,507000,264ml
491,Nước Hoa Nam Gota Urban Eau de Parfum,Urban Perfume For Men Eau de Parfum,624000,30%,888000,150ml
492,Xịt Thơm Toàn Thân Malissa Kiss Sweet Vanilla Cotton,Perfume Body Mist,402000,21%,507000,264ml
493,Nước Hoa Nữ De Memoria #01 Spello Hương Mê Hoặc,Eau De Parfum,1059000,36%,1650000,90ml
494,Nước Hoa Vùng Kín Foellie Hương Gỗ Tươi Mát,Inner Perfume #Eau De Foret,537000,17%,645000,15ml
495,Nước Hoa Nam Nữ Verites Siren,Siren Inspired By Good Girl Velvet Fatale,573000,20%,717000,150ml
496,Xịt Thơm Toàn Thân Bodymiss Hương Funky Fresh,,327000,30%,468000,315ml
497,Bộ 3 Chai Nước Hoa Nam Nerman 4000/chai,"Hương Thơm Mạnh Mẽ Lôi Cuốn, Lưu Hương Tới 8H",1428000,5%,1497000,30ml
498,Xịt Thơm Toàn Thân Và Tóc Silkygirl Hương Love Bloom,Fragrance Mist Hair And Body #Love Bloom,294000,1%,297000,150ml
499,Xịt Thơm Toàn Thân Malissa Kiss Hương Nước Hoa Charm,Perfume Mist,402000,21%,507000,264ml
500,Nước Hoa Vùng Kín Foellie Hương Hoa Anh Đào,Inner Perfume #Eau De Cherry Blossom,537000,49%,1050000,15ml
501,Nước Hoa Nữ Verites Joie De Vivre,Joie De Vivre Inspired by Miss Dior,573000,20%,717000,150ml
502,Nước Hoa Nam Laura Anne Mystic For Him (Đen),Eau de Parfum,552000,38%,897000,150ml
503,Nước Hoa Vùng Kín Nữ Loli And The Wolf Midnight Forest,Hương Hoa Ngọt Ngào Quyến Rũ Lãng Mạn,744000,17%,900000,24ml
504,Xịt Thơm Toàn Thân Bodymiss Hương Funky Fresh,,162000,32%,237000,105ml
505,Nước Hoa Nữ Verites Secretly Sexy,Secretly Sexy Inspired By Victoria's Secret Very Sexy,573000,20%,717000,150ml
506,Nước Hoa Nam Verites Savage Trail,Savage Trail Inspired by Dior Sauvage,573000,20%,717000,150ml
507,Xịt Thơm Toàn Thân Và Tóc Silkygirl Hương Magic Dream,Fragrance Mist Hair And Body #Magic Dream,294000,1%,297000,150ml
508,Xịt Thơm Toàn Thân Bodymiss Hương Stop & Stare,,327000,30%,468000,315ml
509,Nước Hoa Vùng Kín Foellie Hương Hoa Ngọc Lan Tây,Inner Perfume #Eau De Bebe,537000,49%,1050000,15ml
510,Xịt Thơm Toàn Thân Bodymiss Hương Blinded Love,,162000,32%,237000,105ml
511,Xịt Thơm Toàn Thân Bodymiss Hương Hide & Seek,,162000,32%,237000,105ml
512,Nước Hoa Nam Nữ De Memoria EDP #09 Lampang,Eau De Parfum,1110000,33%,1650000,90ml
513,Nước Hoa Vùng Kín Foellie Hương Dâu Tây Bản XO Giới Hạn,Inner Perfume #Eau De Miel,537000,49%,1050000,15ml
514,Xịt Thơm Toàn Thân Bodymiss Hương Hide & Seek,,327000,30%,468000,315ml
515,Nước Hoa Nam Laura Anne Allure For Him (Đỏ),Eau de Parfum,447000,50%,897000,150ml
516,Nước Hoa Vùng Kín Foellie Hương Biển Thơm Mát,Inner Perfume #Eau De Vogue,537000,17%,645000,15ml
517,Xịt Thơm Toàn Thân Malissa Kiss Hương Happy Sundae,Perfume Mist,252000,50%,507000,264ml
518,"Nước Hoa Nữ Verites Her Summer Nữ Tính, Dịu Dàng",,693000,20%,867000,150ml
519,Xịt Thơm Toàn Thân Bodymiss Hương Care Free,,162000,32%,237000,105ml
520,Nước Hoa Nam Nữ De Memoria EDP #10 Jiufen,Eau De Parfum,1062000,36%,1650000,90ml
521,Xịt Thơm Toàn Thân Bodymiss Hương Money Honey,,327000,30%,468000,315ml
522,Xịt Thơm Toàn Thân Malissa Kiss Hương Call Me Maybe,Perfume Mist,402000,21%,507000,264ml
523,Xịt Thơm Toàn Thân Malissa Kiss Hương Nước Hoa Tender,Perfume Mist,402000,21%,507000,264ml
524,Xịt Thơm Toàn Thân Malissa Kiss Hương Cozy Beach,Perfume Mist,252000,50%,507000,264ml
526,Nước Hoa Nam Nữ Verites Santal Lab,Santal Lab Inspired By Le Labo Santal 33,717000,0%,717000,150ml
527,Xịt Thơm Toàn Thân Malissa Kiss Hương Nước Hoa Fierce,Perfume Mist,402000,21%,507000,264ml
528,Xịt Thơm Toàn Thân Bodymiss Hương Money Honey,,162000,32%,237000,105ml
529,Combo 2 Xịt Thơm Toàn Thân Và Tóc Silkygirl Hương Love Bloom + Floral Blush,Fragrance Mist Hair And Body #Love Bloom & #Floral Blush,480000,9%,528000,150ml
530,[Mini] Nước Hoa Nam Calvin Klein Defy For Men EDT,Defy For Men Eau de Toilette,1140000,0%,1140000,30ml
531,Nước Hoa Nữ Gennie Little Rose Dress Bản Giới Hạn,Little Rose Dress For Her,270000,50%,537000,30ml
532,Nước Hoa Nữ De Memoria EDP #07 Hoian,Eau De Parfum,1062000,36%,1650000,90ml
533,Nước Hoa Vùng Kín Foellie Cherry Đen Bản Giới Hạn,Inner Perfume #Eau De Noir,480000,54%,1050000,15ml
534,"Nước Hoa Nữ Verites Beach Bomb Nhẹ Nhàng, Tươi Mát",,693000,20%,867000,150ml
535,"Nước Hoa Nam Verites De Club Cuốn Hút, Lịch Lãm",,693000,20%,867000,150ml
536,Combo 2 Xịt Thơm Toàn Thân Và Tóc Silkygirl Hương Magic Dream + Love Bloom,Fragrance Mist Hair And Body #Magic Dream & #Love Bloom,552000,7%,594000,150ml
537,Xịt Thơm Toàn Thân Và Tóc Silkygirl Hương Floral Blush,Fragrance Mist Hair And Body #Floral Blush,294000,1%,297000,150ml
538,Nước Hoa Unisex Verites Chasing Cloud Tươi Mới,,693000,20%,867000,150ml
539,Nước Hoa Nữ Laura Anne Mystic For Her (Xám),Eau de Parfum,561000,37%,897000,150ml
540,Nước Hoa Nam Laura Anne Dynamic For Him (Xanh),Dynamic For Him,669000,25%,897000,150ml
541,Xịt Thơm Toàn Thân Malissa Kiss Hương Nước Hoa Desire,Perfume Mist,402000,21%,507000,264ml
542,Xịt Thơm Toàn Thân Malissa Kiss Hương Nước Hoa Sweetie,Perfume Mist,402000,21%,507000,264ml
543,Xịt Thơm Toàn Thân Malissa Kiss Hương Nước Hoa Hottie,Perfume Mist,402000,21%,507000,264ml
544,Xịt Thơm Toàn Thân Kiss My Body Sweetie,Perfume Mist,504000,1%,507000,264ml
545,Nước Hoa Nữ Armaf Club De Nuit Woman,Club De Nuit Woman EDP,1884000,29%,2670000,315ml
546,Xịt Thơm Toàn Thân Kiss My Body Hương Crazy In Love,Perfume Mist,429000,15%,507000,264ml
547,Xịt Thơm Toàn Thân Kiss My Body Sweet Vanilla Cotton,Perfume Mist,429000,15%,507000,264ml
548,Xịt Thơm Toàn Thân Kiss My Body Hương Delight,Perfume Mist,429000,15%,507000,264ml
549,Combo 2 Xịt Thơm Toàn Thân Và Tóc Silkygirl Hương Magic Dream + Floral Blush,Fragrance Mist Hair And Body #Magic Dream & #Floral Blush,552000,7%,594000,150ml
550,Nước Hoa Nữ Narciso Rodriguez Musc Noir For Her EDP,Eau De Parfum,5238000,10%,5820000,90ml
551,Nước Hoa Nữ Chloé Love Story EDP,Eau De Parfum,5055000,29%,7080000,90ml
552,Nước Hoa Nữ Narciso Rodriguez For Her EDP,Eau De Parfum,5238000,10%,5820000,90ml
553,Nước Hoa Nữ Narciso Rodriguez Ambrée EDP,Eau De Parfum,5022000,15%,5910000,90ml
554,Nước Hoa Nữ Narciso Rodriguez Pure Musc For Her EDP,Eau De Parfum,5238000,10%,5820000,90ml
555,Nước Hoa Nữ Narciso Rodriguez For Her EDP,Eau De Parfum,7830000,10%,8700000,150ml
556,Nước Hoa Nữ Narciso Rodriguez For Her EDP,Eau De Parfum,10341000,10%,11490000,300ml
557,Nước Hoa Nữ Narciso Rodriguez For Her EDT,Eau De Toilette,7425000,29%,10410000,300ml
558,Nước Hoa Nữ Marc Jacobs Daisy Ever So Fresh EDP,Eau De Parfum,5400000,19%,6660000,90ml
559,Nước Hoa Nữ Narciso Rodriguez For Her EDT,Eau De Toilette,5070000,35%,7830000,150ml
560,Nước Hoa Nữ Narciso Rodriguez Pure Musc For Her EDP,Eau De Parfum,10911000,5%,11490000,300ml
561,Nước Hoa Nam Tommy Impact Intense EDP,Impact Intense Eau De Perfume,6750000,0%,6750000,150ml
562,Nước Hoa Nam De Memoria EDP #12 Bagan,Eau De Parfum,1110000,33%,1650000,90ml
563,Nước Hoa Nữ Carolina Herrera Very Good Girl Glam EDP,Very Good Girl Glam Eau De Parfum,11799000,10%,13110000,240ml
564,Nước Hoa Nữ Marc Jacobs Daisy Love EDT,Eau De Toilette,3480000,40%,5820000,90ml
565,Nước Hoa Nữ Tommy Now Girl EDT,Now Girl Eau De Toilette,4080000,0%,4080000,90ml
566,Nước Hoa Nam Tommy Now EDT,Now Eau De Toilette,4080000,0%,4080000,90ml
567,Nước Hoa Nữ Carolina Herrera Very Good Girl EDP,Very Good Girl Eau De Parfum,5940000,10%,6600000,90ml
568,Nước Hoa Nam TOMMY Cologne EDT,Cologne Spray,2697000,34%,4080000,90ml
569,Nước Hoa Nữ Marc Jacobs Daisy Dream EDT,Eau De Toilette,2967000,14%,3450000,90ml
570,Nước Hoa Nữ Issey Miyake L'Eau D'Issey EDT,Eau De Toilette,6102000,10%,6780000,150ml
571,Nước Hoa Nam Issey Miyake L'Eau D'Issey Eau & Cèdre,Pour Homme Eau De Toilette Intense,7749000,10%,8610000,300ml
572,Nước Hoa Nữ Issey Miyake A Drop D'Issey EDP,Eau De Parfum,8775000,10%,9750000,270ml
573,Nước Hoa Nam Tommy Impact EDT,Impact Intense Eau De Toilette,6390000,0%,6390000,150ml
574,Nước Hoa Nam Calvin Klein Defy For Men EDT,Eau De Toilette,2037000,47%,3870000,90ml
575,Nước Hoa Nữ Laura Anne Dynamic For Her (Xanh),Eau de Parfum,594000,34%,897000,150ml
576,Nước Hoa Nữ Issey Miyake A Drop D'Issey EDP Fraiche,Eau De Parfum Fraiche,4563000,10%,5070000,90ml
577,Nước Hoa Nam Nữ Calvin Klein One EDT,Eau De Toilette,2439000,45%,4410000,150ml
578,Nước Hoa Nữ Tommy Girl Cologne EDT,Tommy Girl Cologne Eau de Toilette Spray,2517000,38%,4080000,90ml
579,Nước Hoa Nữ Marc Jacobs Daisy Love Eau So Sweet EDT,Eau De Toilette,5250000,10%,5820000,90ml
580,"Nước Hoa Nữ Verites Starstruck Ngọt Ngào, Quyến Rũ",,693000,20%,867000,150ml
581,"Nước Hoa Nữ Verites Midnight Bloom Quyến Rũ, Thanh Lịch",,693000,20%,867000,150ml
582,[HSD 02/2025] Nước Hoa Nam De Memoria EDP #12 Bagan,Eau De Parfum,999000,0%,999000,90ml
583,Nước Hoa Nam Nữ De Memoria EDP #11 Tai O,Eau De Parfum,1062000,36%,1650000,90ml
584,Nước Hoa Nam Versace Eros Flame EDP,Eros Flame Eau de Parfum Spray,3948000,40%,6567000,150ml
585,[HSD 06/2024] Xịt Thơm Toàn Thân Bodymiss Hương Money Honey,,132000,44%,237000,105ml
586,Nước Hoa Nam Moschino Toy Boy EDP,,6765000,0%,6765000,300ml
587,Nước Hoa Nam Versace Pour Homme Dylan Blue EDT,Pour Homme Dylan Blue Eau De Toilette,5445000,25%,7260000,300ml
588,Nước Hoa Nữ Jean Paul Gaultier Scandal EDP,Scandal Eau De Parfum Spray,5670000,10%,6300000,90ml
589,Nước Hoa Nữ Chloé Nomade EDP,Eau De Parfum,5550000,18%,6750000,90ml
590,Nước Hoa Nữ Burberry Her Blossom EDT,Her Blossom Eau de Toilette,8109000,33%,12090000,300ml
591,[HSD 02/2025] Nước Hoa Nữ De Memoria EDP #07 Hoian,Eau De Parfum,957000,0%,957000,90ml
592,Nước Hoa Nữ Marc Jacobs Perfect EDP,Perfect Eau De Parfum,7767000,37%,12330000,300ml
593,Nước Hoa Nữ Chloé L'Eau Eau De Toilette,L'Eau Eau De Toilette,8505000,31%,12390000,300ml
594,Nước Hoa Nữ Chloé Nomade EDP,Eau De Parfum,8796000,32%,12870000,225ml
595,Nước Hoa Nam Lacoste Match Point EDT,Match Point Eau de Toilette,5364000,40%,8910000,300ml
596,Nước Hoa Nữ Signorina Misteriosa,Signorina Misteriosa Eau de Parfum,5460000,22%,6990000,300ml
597,[HSD 06/2024] Xịt Thơm Toàn Thân Bodymiss Hương Blinded Love,,132000,44%,237000,105ml
598,[HSD 03/2025] Nước Hoa Nữ Chloé L'Eau Eau De Toilette,L'Eau Eau De Toilette,6804000,45%,12390000,300ml
599,Nước Hoa Nam Versace Man Eau Fraiche EDT,Eau Fraiche Eau De Toilette,5586000,19%,6897000,300ml
600,Nước Hoa Nữ Moschino Toy 2 EDP,Toy 2 Eau De Parfum,4620000,37%,7326000,300ml
601,Nước Hoa Nữ Burberry Her EDP,Her Eau De Parfum,8901000,41%,14970000,300ml
602,[HSD 06/2024] Xịt Thơm Toàn Thân Bodymiss Hương Care Free,,132000,44%,237000,105ml
603,Nước Hoa Nữ Versace Yellow Diamond EDT,Yellow Diamond Eau De Toilette Natural Spray,5967000,26%,8118000,270ml
604,Nước Hoa Nam Versace Pour Homme Eau De Toilette,Pour Homme Eau De Toilette,4632000,35%,7128000,300ml
605,[HSD 02/2025] Nước Hoa Nữ Laura Anne Dynamic For Her (Xanh),Eau de Parfum,567000,37%,897000,150ml
606,[HSD 07/2024] Xịt Thơm Toàn Thân Bodymiss Hương Blinded Love,,132000,44%,237000,105ml
607,[HSD 02/2025] Nước Hoa Nam Nữ De Memoria EDP #09 Lampang,Eau De Parfum,999000,0%,999000,90ml
608,[HSD 06/2024] Xịt Thơm Toàn Thân Bodymiss Hương Funky Fresh,,132000,44%,237000,105ml
609,Nước Hoa Nữ Marc Jacobs Daisy Intense EDP,Daisy Intense Eau De Parfum,3792000,45%,6870000,90ml
610,Nước Hoa Nam Calvin Klein Euphoria For Men EDT,Euphoria For Men Eau de Toilette,5031000,40%,8340000,300ml
611,[HSD 01/2025] Nước Hoa Nữ Marc Jacobs Daisy Intense EDP,Daisy Intense Eau De Parfum,609000,30%,870000,12ml
612,[Mini] Nước Hoa Nữ Burberry Her Blossom EDT 1.,,204000,1%,207000,15ml
613,Nước Hoa Nữ Lancôme La Vie Est Belle Bản Giới Hạn OUI,La Vie Est Belle Oui L'eau De Parfum D'exception,6717000,17%,8100000,150ml
614,Nước Hoa Nữ Chloé Eau De Parfum,,8529000,34%,12870000,225ml
615,[HSD 02/2025] Nước Hoa Nữ Laura Anne Mystic For Her (Xám),Eau de Parfum,468000,0%,468000,150ml
